;Количество врагов по уровням:
		:.BYTE $12, 2, 0, 0 ; 1
		.BYTE 2, 4, 0, $E	; 2
		.BYTE $E, 4, 0,	2	; 3
		.BYTE $A, 5, 2,	3	; 4
		.BYTE 5, 2, 8, 5	; 5
		.BYTE 7, 2, 9, 2	; 6
		.BYTE 3, 4, 6, 7	; 7
		.BYTE 7, 2, 4, 7	; 8
		.BYTE 6, 4, 7, 3	; 9
		.BYTE $C, 2, 4,	2	; 10
		.BYTE 5, 6, 4, 5	; 11
		.BYTE 8, 6, 0, 6	; 12
		.BYTE 8, 8, 0, 4	; 13
		.BYTE $A, 4, 0,	6	; 14
		.BYTE 2, 0, $A,	8	; 15
		.BYTE $10, 0, 2, 2	; 16
		.BYTE 2, 2, 8, 8	; 17
		.BYTE 4, 2, 6, 8	; 18
		.BYTE 4, 8, 4, 4	; 19
		.BYTE 8, 2, 2, 8	; 20
		.BYTE 8, 2, 6, 4	; 21
		.BYTE 8, 6, 2, 4	; 22
		.BYTE 6, 0, 4, $A	; 23
		.BYTE 4, 2, 4, $A	; 24
		.BYTE 2, 8, 0, $A	; 25
		.BYTE 6, 6, 4, 4	; 26
		.BYTE 2, 8, 8, 2	; 27
		.BYTE 2, 1, $F,	2	; 28
		.BYTE $A, 4, 0,	6	; 29
		.BYTE 4, 8, 4, 4	; 30
		.BYTE 3, 8, 6, 3	; 31
		.BYTE 8, 6, 2, 4	; 32
		.BYTE 4, 8, 4, 4	; 33
		.BYTE 4, $A, 0,	6	; 34
		.BYTE 4, 6, 0, $A	; 35 
